City_ID,City
0,Barrie
1,Belleville-Quinte West
2,Brantford
3,Greater Sudbury
4,Guelph
5,Hamilton
6,Kingston
7,Kitchener-Cambridge-Waterloo
8,London
9,Ottawa-Gatineau
10,Peterborough
11,St. Catharines-Niagara
12,Thunder Bay
13,Toronto
14,Windsor
